Symbol,Company_Name,Sector,Data_Exising,History_Existing
A,Agilent Technologies Inc. Common Stock,Industrials,True,6225.0
AA,Alcoa Corporation Common Stock ,Industrials,True,6225.0
AACG,ATA Creativity Global American Depositary Shares,Real Estate,True,4197.0
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,Finance,True,327.0
AADI,Aadi Bioscience Inc. Common Stock,Health Care,True,1665.0
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,True,4784.0
AAME,Atlantic American Corporation Common Stock,Finance,True,6225.0
AAN,Aarons Holdings Company Inc. Common Stock ,Consumer Discretionary,True,966.0
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,True,2771.0
AAON,AAON Inc. Common Stock,Industrials,True,6225.0
AAP,Advance Auto Parts Inc.,Consumer Discretionary,True,5747.0
AAPL,Apple Inc. Common Stock,Technology,True,6225.0
AAT,American Assets Trust Inc. Common Stock,Real Estate,True,3450.0
AB,AllianceBernstein Holding L.P.  Units,Finance,True,6225.0
ABAT,American Battery Technology Company Common Stock,Basic Materials,True,2165.0
ABBV,AbbVie Inc. Common Stock,Health Care,True,2956.0
ABCB,Ameris Bancorp Common Stock,Finance,True,6225.0
ABCL,AbCellera Biologics Inc. Common Shares,Health Care,True,955.0
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,True,6225.0
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples,True,6225.0
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,True,5671.0
ABL,Abacus Life Inc. Class A Common Stock,Finance,True,1018.0
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,Finance,True,213.0
ABLV,Able View Global Inc. Class B Ordinary Shares,Consumer Discretionary,True,270.0
ABM,ABM Industries Incorporated Common Stock,Finance,True,6225.0
ABNB,Airbnb Inc. Class A Common Stock,Finance,True,956.0
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,True,817.0
ABR,Arbor Realty Trust Common Stock,Real Estate,True,5155.0
ABSI,Absci Corporation Common Stock,Health Care,True,803.0
ABT,Abbott Laboratories Common Stock,Health Care,True,6225.0
ABTS,Abits Group Inc Ordinary Shares,Technology,True,2636.0
ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,True,4325.0
ABVC,ABVC BioPharma Inc. Common Stock,Health Care,True,5005.0
ABVE,Above Food Ingredients Inc. Common Stock,Consumer Staples,True,63.0
ABVX,Abivax SA American Depositary Shares,Health Care,True,237.0
AC,Associated Capital Group Inc. Common Stock,Finance,True,2236.0
ACA,Arcosa Inc. Common Stock ,Industrials,True,1484.0
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,Finance,True,644.0
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,True,5120.0
ACB,Aurora Cannabis Inc. Common Shares,Health Care,True,2571.0
ACCD,Accolade Inc. Common Stock,Consumer Discretionary,True,1069.0
ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary,True,4812.0
ACDC,ProFrac Holding Corp. Class A Common Stock,Energy,True,598.0
ACEL,Accel Entertainment Inc. ,Consumer Discretionary,True,1786.0
ACET,Adicet Bio Inc. Common Stock ,Health Care,True,1680.0
ACGL,Arch Capital Group Ltd. Common Stock,Finance,True,6225.0
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Finance,True,837.0
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,True,1789.0
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,True,6225.0
ACHL,Achilles Therapeutics plc American Depositary Shares,Health Care,True,881.0
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,True,950.0
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,True,6225.0
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,True,1072.0
ACIC,American Coastal Insurance Corporation Common Stock,Finance,True,4252.0
ACIU,AC Immune SA Common Stock,Health Care,True,2017.0
ACIW,ACI Worldwide Inc. Common Stock,Technology,True,6225.0
ACLS,Axcelis Technologies Inc. Common Stock,Technology,True,6094.0
ACLX,Arcellx Inc. Common Stock,Health Care,True,666.0
ACM,AECOM Common Stock,Consumer Discretionary,True,4378.0
ACMR,ACM Research Inc. Class A Common Stock,Technology,True,1737.0
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,True,5836.0
ACNB,ACNB Corporation Common Stock,Finance,True,6225.0
ACNT,Ascent Industries Co. Common Stock,Industrials,True,6225.0
ACON,Aclarion Inc. Common Stock,Health Care,True,613.0
ACP,abrdn Income Credit Strategies Fund Common Shares,Finance,True,3441.0
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate,True,4693.0
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate,True,3126.0
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,True,2261.0
ACRV,Acrivon Therapeutics Inc. Common Stock,Health Care,True,470.0
ACST,Acasti Pharma Inc. Class A Common Stock,Health Care,True,3182.0
ACT,Enact Holdings Inc. Common Stock,Finance,True,764.0
ACTU,Actuate Therapeutics Inc. Common stock,Health Care,True,34.0
ACU,Acme United Corporation. Common Stock,Consumer Discretionary,True,6225.0
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Finance,True,2356.0
ACVA,ACV Auctions Inc. Class A Common Stock,Consumer Discretionary,True,886.0
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care,True,821.0
ADAG,Adagene Inc. American Depositary Shares,Health Care,True,916.0
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care,True,2367.0
ADBE,Adobe Inc. Common Stock,Technology,True,6225.0
ADC,Agree Realty Corporation Common Stock,Real Estate,True,6225.0
ADCT,ADC Therapeutics SA Common Shares,Health Care,True,1100.0
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,Consumer Discretionary,True,3997.0
ADEA,Adeia Inc. Common Stock,Technology,True,5254.0
ADGM,Adagio Medical Holdings Inc Common Stock,Health Care,True,41.0
ADI,Analog Devices Inc. Common Stock,Technology,True,6225.0
ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,True,1554.0
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,True,6225.0
ADMA,ADMA Biologics Inc Common Stock,Health Care,True,2756.0
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,True,2001.0
ADP,Automatic Data Processing Inc. Common Stock,Technology,True,6225.0
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,True,1324.0
ADRT,Ault Disruptive Technologies Corporation Common Stock,Finance,True,663.0
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Consumer Discretionary,True,896.0
ADSK,Autodesk Inc. Common Stock,Technology,True,6225.0
ADT,ADT Inc. Common Stock,Consumer Discretionary,True,1685.0
ADTN,ADTRAN Holdings Inc. Common Stock,Utilities,True,6225.0
ADTX,Aditxt Inc. Common Stock,Health Care,True,1070.0
ADUS,Addus HomeCare Corporation Common Stock,Health Care,True,3755.0
ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,True,1194.0
ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,True,2559.0
ADX,Adams Diversified Equity Fund Inc.,Finance,True,6225.0
