Symbol,Company_Name,Sector,Data_Exising,History_Existing,IPO_Year,Country,Industry
A,Agilent Technologies Inc. Common Stock,Industrials,True,6225.0,1999.0,United States,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,Industrials,True,6225.0,2016.0,United States,Aluminum
AAME,Atlantic American Corporation Common Stock,Finance,True,6225.0,,United States,Life Insurance
AAON,AAON Inc. Common Stock,Industrials,True,6225.0,,United States,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,Technology,True,6225.0,1980.0,United States,Computer Manufacturing
AB,AllianceBernstein Holding L.P.  Units,Finance,True,6225.0,,United States,Investment Managers
ABCB,Ameris Bancorp Common Stock,Finance,True,6225.0,1994.0,United States,Major Banks
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,True,6225.0,,United States,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples,True,6225.0,2013.0,Brazil,Beverages (Production/Distribution)
ABM,ABM Industries Incorporated Common Stock,Finance,True,6225.0,,United States,Diversified Commercial Services
ABT,Abbott Laboratories Common Stock,Health Care,True,6225.0,,United States,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Finance,True,6225.0,,Bermuda,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,True,6225.0,,United States,Medical Specialities
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,True,6225.0,,United States,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIW,ACI Worldwide Inc. Common Stock,Technology,True,6225.0,,United States,Computer Software: Prepackaged Software
ACNB,ACNB Corporation Common Stock,Finance,True,6225.0,,United States,Major Banks
ACNT,Ascent Industries Co. Common Stock,Industrials,True,6225.0,,United States,Steel/Iron Ore
ACU,Acme United Corporation. Common Stock,Consumer Discretionary,True,6225.0,1988.0,United States,Industrial Machinery/Components
ADBE,Adobe Inc. Common Stock,Technology,True,6225.0,1986.0,United States,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,Real Estate,True,6225.0,,United States,Real Estate Investment Trusts
ADI,Analog Devices Inc. Common Stock,Technology,True,6225.0,,United States,Semiconductors
